exp,src,dst,number_of_packets,packet_size,time
26,0,1,100,40000,0.000568
27,0,1,100,40000,0.000568
28,0,1,100,40000,0.000569
29,0,1,100,40000,0.000580
30,0,1,100,40000,0.000553
31,0,1,100,40000,0.000556
32,0,1,100,40000,0.000562
33,0,1,100,40000,0.000586
34,0,1,100,40000,0.000554
35,0,1,100,40000,0.000568
36,0,1,100,40000,0.000554
37,0,1,100,40000,0.000570
38,0,1,100,40000,0.000565
39,0,1,100,40000,0.000563
40,0,1,100,40000,0.000556
41,0,1,100,40000,0.000562
42,0,1,100,40000,0.000588
43,0,1,100,40000,0.000555
44,0,1,100,40000,0.000543
45,0,1,100,40000,0.000586
46,0,1,100,40000,0.000562
47,0,1,100,40000,0.000567
48,0,1,100,40000,0.000564
49,0,1,100,40000,0.000566
50,0,1,100,40000,0.000564
51,0,1,100,40000,0.000564
52,0,1,100,40000,0.000567
53,0,1,100,40000,0.000565
54,0,1,100,40000,0.000568
55,0,1,100,40000,0.000565
56,0,1,100,40000,0.000569
57,0,1,100,40000,0.000566
58,0,1,100,40000,0.000563
59,0,1,100,40000,0.000567
60,0,1,100,40000,0.000555
61,0,1,100,40000,0.000566
62,0,1,100,40000,0.000567
63,0,1,100,40000,0.000569
64,0,1,100,40000,0.000544
65,0,1,100,40000,0.000567
66,0,1,100,40000,0.000566
67,0,1,100,40000,0.000554
68,0,1,100,40000,0.000568
69,0,1,100,40000,0.000571
70,0,1,100,40000,0.000583
71,0,1,100,40000,0.000563
72,0,1,100,40000,0.000564
73,0,1,100,40000,0.000557
74,0,1,100,40000,0.000568
75,0,1,100,40000,0.000566
76,0,1,100,40000,0.000561
77,0,1,100,40000,0.000566
78,0,1,100,40000,0.000577
79,0,1,100,40000,0.000558
80,0,1,100,40000,0.000567
81,0,1,100,40000,0.000574
82,0,1,100,40000,0.000555
83,0,1,100,40000,0.000565
84,0,1,100,40000,0.000571
85,0,1,100,40000,0.000572
86,0,1,100,40000,0.000566
87,0,1,100,40000,0.000564
88,0,1,100,40000,0.000552
89,0,1,100,40000,0.000567
90,0,1,100,40000,0.000573
91,0,1,100,40000,0.000565
92,0,1,100,40000,0.000550
93,0,1,100,40000,0.000575
94,0,1,100,40000,0.000563
95,0,1,100,40000,0.000566
96,0,1,100,40000,0.000566
97,0,1,100,40000,0.000562
98,0,1,100,40000,0.000564
99,0,1,100,40000,0.000564
1,0,1,100,400000,0.003801
2,0,1,100,400000,0.003499
3,0,1,100,400000,0.003500
4,0,1,100,400000,0.003477
5,0,1,100,400000,0.003478
6,0,1,100,400000,0.003479
7,0,1,100,400000,0.003478
8,0,1,100,400000,0.003498
9,0,1,100,400000,0.003477
10,0,1,100,400000,0.003477
11,0,1,100,400000,0.003475
12,0,1,100,400000,0.003524
13,0,1,100,400000,0.003476
14,0,1,100,400000,0.003479
15,0,1,100,400000,0.003477
16,0,1,100,400000,0.003478
17,0,1,100,400000,0.003474
18,0,1,100,400000,0.003479
19,0,1,100,400000,0.003477
20,0,1,100,400000,0.003478
21,0,1,100,400000,0.003478
22,0,1,100,400000,0.003478
23,0,1,100,400000,0.003476
24,0,1,100,400000,0.003480
25,0,1,100,400000,0.003478
26,0,1,100,400000,0.003479
27,0,1,100,400000,0.003477
28,0,1,100,400000,0.003477
29,0,1,100,400000,0.003478
30,0,1,100,400000,0.003478
31,0,1,100,400000,0.003501
